time,droneId,x,y,vx,vy
1.16,1,85.684,18.632,-5.74473,11.4895
1.16,2,18.632,85.684,11.4895,-5.74473
1.16,3,84.8208,83.9576,-6.89368,-8.04263
1.17,0,17.8725,18.7472,10.3654,11.5171
1.17,1,85.6264,18.7472,-5.75853,11.5171
1.17,2,18.7472,85.6264,11.5171,-5.75853
1.17,3,84.7517,83.877,-6.91024,-8.06195
1.18,0,17.9764,18.8626,10.3895,11.5439
1.18,1,85.5687,18.8626,-5.77194,11.5439
1.18,2,18.8626,85.5687,11.5439,-5.77194
1.18,3,84.6824,83.7962,-6.92632,-8.08071
1.19,0,18.0805,18.9783,10.4129,11.5699
1.19,1,85.5108,18.9783,-5.78495,11.5699
1.19,2,18.9783,85.5108,11.5699,-5.78495
1.19,3,84.613,83.7152,-6.94194,-8.09893
1.2,0,18.1849,19.0943,10.4356,11.5951
1.2,1,85.4529,19.0943,-5.79757,11.5951
1.2,2,19.0943,85.4529,11.5951,-5.79757
1.2,3,84.5434,83.634,-6.95709,-8.1166
1.21,0,18.2894,19.2105,10.4577,11.6196
1.21,1,85.3948,19.2105,-5.80981,11.6196
1.21,2,19.2105,85.3948,11.6196,-5.80981
1.21,3,84.4737,83.5527,-6.97178,-8.13374
1.22,0,18.3942,19.3269,10.479,11.6433
1.22,1,85.3365,19.3269,-5.82167,11.6433
1.22,2,19.3269,85.3365,11.6433,-5.82167
1.22,3,84.4039,83.4712,-6.98601,-8.15034
1.23,0,18.4992,19.4436,10.4997,11.6663
1.23,1,85.2782,19.4436,-5.83316,11.6663
1.23,2,19.4436,85.2782,11.6663,-5.83316
1.23,3,84.3339,83.3895,-6.99979,-8.16642
1.24,0,18.6044,19.5605,10.5197,11.6886
1.24,1,85.2198,19.5605,-5.84428,11.6886
1.24,2,19.5605,85.2198,11.6886,-5.84428
1.24,3,84.2637,83.3077,-7.01313,-8.18199
1.25,0,18.7098,19.6776,10.539,11.71
1.25,1,85.1612,19.6776,-5.85502,11.71
1.25,2,19.6776,85.1612,11.71,-5.85502
1.25,3,84.1935,83.2257,-7.02603,-8.19703
1.26,0,18.8154,19.7949,10.5577,11.7308
1.26,1,85.1026,19.7949,-5.86541,11.7308
1.26,2,19.7949,85.1026,11.7308,-5.86541
1.26,3,84.1231,83.1436,-7.03849,-8.21157
1.27,0,18.9211,19.9124,10.5758,11.7509
1.27,1,85.0438,19.9124,-5.87543,11.7509
1.27,2,19.9124,85.0438,11.7509,-5.87543
1.27,3,84.0526,83.0613,-7.05052,-8.22561
1.28,0,19.0271,20.0301,10.5932,11.7702
1.28,1,84.985,20.0301,-5.8851,11.7702
1.28,2,20.0301,84.985,11.7702,-5.8851
1.28,3,83.982,82.9789,-7.06212,-8.23914
1.29,0,19.1332,20.148,10.61,11.7888
1.29,1,84.926,20.148,-5.89442,11.7888
1.29,2,20.148,84.926,11.7888,-5.89442
1.29,3,83.9112,82.8964,-7.07331,-8.25219
1.3,0,19.2394,20.266,10.6261,11.8068
1.3,1,84.867,20.266,-5.90339,11.8068
1.3,2,20.266,84.867,11.8068,-5.90339
1.3,3,83.8404,82.8138,-7.08407,-8.26475
1.31,0,19.3458,20.3843,10.6416,11.824
